INFO:root:Establishing Channel
INFO:pika.adapters.blocking_connection:Created channel=1
INFO:root:[x] Sent 1138
INFO:root:[x] Sent 3313
INFO:root:[x] Sent 8558
INFO:root:[x] Sent 5404
INFO:root:[x] Sent 292
INFO:root:[x] Sent 6611
INFO:root:[x] Sent 4099
INFO:root:[x] Sent 4110
INFO:root:[x] Sent 7708
INFO:root:[x] Sent 5450
INFO:root:[x] Sent 3162
INFO:root:[x] Sent 3943
INFO:root:[x] Sent 1584
INFO:root:[x] Sent 3549
INFO:root:[x] Sent 8121
INFO:root:[x] Sent 217
INFO:root:[x] Sent 7815
INFO:root:[x] Sent 6465
INFO:root:[x] Sent 6533
INFO:root:[x] Sent 3401
INFO:root:[x] Sent 6197
INFO:root:[x] Sent 7215
INFO:root:[x] Sent 5453
INFO:root:[x] Sent 8777
INFO:root:[x] Sent 4301
INFO:root:[x] Sent 8747
INFO:root:[x] Sent 8429
INFO:root:[x] Sent 1162
INFO:root:[x] Sent 2862
INFO:root:[x] Sent 7634
INFO:root:[x] Sent 3599
INFO:root:[x] Sent 1492
INFO:root:[x] Sent 8095
INFO:root:[x] Sent 6096
INFO:root:[x] Sent 7831
INFO:root:[x] Sent 3686
INFO:root:[x] Sent 3532
INFO:root:[x] Sent 1782
INFO:root:[x] Sent 2528
INFO:root:[x] Sent 3726
INFO:root:[x] Sent 3094
INFO:root:[x] Sent 6109
INFO:root:[x] Sent 1636
INFO:root:[x] Sent 3480
INFO:root:[x] Sent 7318
INFO:root:[x] Sent 1285
INFO:root:[x] Sent 4252
INFO:root:[x] Sent 5356
INFO:root:[x] Sent 6653
INFO:root:[x] Sent 2589
INFO:root:[x] Sent 1555
INFO:root:[x] Sent 5955
INFO:root:[x] Sent 2722
INFO:root:[x] Sent 7462
INFO:root:[x] Sent 17
INFO:root:[x] Sent 4903
INFO:root:[x] Sent 3505
INFO:root:[x] Sent 6869
INFO:root:[x] Sent 5053
INFO:root:[x] Sent 6260
INFO:root:[x] Sent 5245
INFO:root:[x] Sent 6875
INFO:root:[x] Sent 6687
INFO:root:[x] Sent 7286
INFO:root:[x] Sent 3172
INFO:root:[x] Sent 4603
INFO:root:[x] Sent 2814
INFO:root:[x] Sent 6044
INFO:root:[x] Sent 5419
INFO:root:[x] Sent 1328
INFO:root:[x] Sent 1653
INFO:root:[x] Sent 8769
INFO:root:[x] Sent 8554
INFO:root:[x] Sent 4669
INFO:root:[x] Sent 6493
INFO:root:[x] Sent 4704
INFO:root:[x] Sent 8709
INFO:root:[x] Sent 1410
INFO:root:[x] Sent 1792
INFO:root:[x] Sent 1692
INFO:root:[x] Sent 5255
INFO:root:[x] Sent 8172
INFO:root:[x] Sent 15
INFO:root:[x] Sent 866
INFO:root:[x] Sent 2821
INFO:root:[x] Sent 2872
INFO:root:[x] Sent 6782
INFO:root:[x] Sent 2303
INFO:root:[x] Sent 7157
INFO:root:[x] Sent 2632
INFO:root:[x] Sent 3902
